Time	CPU	Memory	Temperature
Fri Jan  5 14:56:38 2024	4.020462	59.529903	52.095001
Fri Jan  5 14:56:39 2024	4.019616	59.529903	50.633999
Fri Jan  5 14:56:40 2024	4.018855	59.529903	51.608002
Fri Jan  5 14:56:41 2024	4.018262	59.549366	52.095001
Fri Jan  5 14:56:42 2024	4.016993	59.549366	51.608002
Fri Jan  5 14:56:43 2024	4.016146	59.549366	51.608002
Fri Jan  5 14:56:44 2024	4.018089	59.549366	51.608002
Fri Jan  5 14:56:45 2024	4.020367	59.549366	51.120998
Fri Jan  5 14:56:46 2024	4.021214	59.588188	51.120998
Fri Jan  5 14:56:47 2024	4.020615	59.588188	52.095001
Fri Jan  5 14:56:48 2024	4.019355	59.588188	51.120998
Fri Jan  5 14:56:49 2024	4.019012	59.594677	52.095001
Fri Jan  5 14:56:50 2024	4.017666	59.594677	52.095001
Fri Jan  5 14:56:51 2024	4.016398	59.594677	52.095001
Fri Jan  5 14:56:52 2024	4.016319	59.601162	52.582001
Fri Jan  5 14:56:53 2024	4.016656	59.646473	52.095001
Fri Jan  5 14:56:54 2024	4.015473	59.646473	52.095001
Fri Jan  5 14:56:55 2024	4.014211	59.646473	51.608002
Fri Jan  5 14:56:56 2024	4.012869	59.646473	53.069000
Fri Jan  5 14:56:57 2024	4.011524	59.646473	51.608002
Fri Jan  5 14:56:58 2024	4.010265	59.646473	51.120998
Fri Jan  5 14:56:59 2024	4.009173	59.652962	52.095001
Fri Jan  5 14:57:00 2024	4.007999	59.652962	52.095001
Fri Jan  5 14:57:01 2024	4.006828	59.652962	52.582001
Fri Jan  5 14:57:02 2024	4.005572	59.652962	52.095001
Fri Jan  5 14:57:03 2024	4.004480	59.658730	51.608002
Fri Jan  5 14:57:04 2024	4.003142	59.658730	52.095001
Fri Jan  5 14:57:05 2024	4.002055	59.665215	51.120998
Fri Jan  5 14:57:06 2024	4.001132	59.665215	51.608002
Fri Jan  5 14:57:07 2024	3.999800	59.665215	50.146999
Fri Jan  5 14:57:08 2024	3.998548	59.665215	51.608002
Fri Jan  5 14:57:09 2024	3.997387	59.665215	52.095001
Fri Jan  5 14:57:10 2024	3.996137	59.665215	51.608002
Fri Jan  5 14:57:11 2024	3.994888	59.665215	51.120998
Fri Jan  5 14:57:12 2024	3.993560	59.671703	52.095001
