Time	CPU	Memory	Temperature
Fri Jan  5 15:02:03 2024	3.858112	59.835030	51.120998
Fri Jan  5 15:02:04 2024	3.857869	59.835030	50.633999
Fri Jan  5 15:02:05 2024	3.856779	59.835030	50.146999
Fri Jan  5 15:02:06 2024	3.855915	59.835030	51.120998
Fri Jan  5 15:02:07 2024	3.855205	59.835030	50.146999
Fri Jan  5 15:02:08 2024	3.854348	59.835030	50.633999
Fri Jan  5 15:02:09 2024	3.853333	59.835030	51.120998
Fri Jan  5 15:02:10 2024	3.852704	59.835030	51.120998
Fri Jan  5 15:02:11 2024	3.851772	59.835030	50.633999
Fri Jan  5 15:02:12 2024	3.858258	59.786938	51.608002
Fri Jan  5 15:02:13 2024	3.857092	59.786938	50.633999
Fri Jan  5 15:02:14 2024	3.855923	59.786938	52.095001
